epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7219,1.10696,1.33955,2.00794,0.05345,0.81962,0.7824,0.86792,0.65335,0.85671,0.97186,1.71846,0.05742,0.000663158,0.000663158,0.000663158
2,150.849,0.81336,0.86287,1.45685,0.02439,0.90048,0.87477,0.93093,0.75728,0.6582,0.64994,1.43763,0.02983,0.00124206,0.00124206,0.00124206
3,220.213,0.76433,0.81835,1.41656,0.02278,0.87903,0.9167,0.94293,0.77408,0.62206,0.64606,1.4038,0.02722,0.00173295,0.00173295,0.00173295
4,290.607,0.72254,0.75587,1.37991,0.01934,0.92726,0.9156,0.95414,0.80565,0.57508,0.53286,1.35222,0.02199,0.001604,0.001604,0.001604
5,360.658,0.68825,0.68923,1.3532,0.01417,0.89583,0.91067,0.9297,0.77001,0.60925,0.57631,1.37355,0.02087,0.001472,0.001472,0.001472
6,429.201,0.62084,0.56901,1.40652,0.0187,0.92276,0.92406,0.96038,0.81804,0.57198,0.49137,1.31534,0.01826,0.00134,0.00134,0.00134
7,493.491,0.58287,0.50978,1.36899,0.01418,0.96676,0.94015,0.97683,0.83896,0.52883,0.43026,1.27002,0.01669,0.001208,0.001208,0.001208
8,558.695,0.54305,0.4689,1.31484,0.01362,0.95099,0.95672,0.97921,0.85865,0.51472,0.42632,1.23388,0.01764,0.001076,0.001076,0.001076
9,623.532,0.52774,0.44194,1.30241,0.01189,0.96236,0.94751,0.97766,0.85182,0.48829,0.38608,1.25976,0.008,0.000944,0.000944,0.000944
10,687.72,0.50905,0.39336,1.27341,0.01115,0.96587,0.93806,0.97633,0.85604,0.48796,0.3848,1.2311,0.01049,0.000812,0.000812,0.000812
11,751.601,0.4871,0.37619,1.25474,0.00962,0.96235,0.96869,0.98147,0.88351,0.42502,0.33086,1.1553,0.00968,0.00068,0.00068,0.00068
12,816.014,0.4552,0.34617,1.21313,0.00898,0.9758,0.96133,0.98208,0.87401,0.43216,0.32752,1.15954,0.00928,0.000548,0.000548,0.000548
13,878.931,0.43281,0.32614,1.18584,0.00727,0.97786,0.96317,0.98218,0.88094,0.41154,0.29466,1.15324,0.00848,0.000416,0.000416,0.000416
14,942.09,0.4172,0.3045,1.17201,0.00796,0.98249,0.96961,0.98323,0.88969,0.40333,0.28256,1.14271,0.0073,0.000284,0.000284,0.000284
15,1005.93,0.39423,0.28828,1.15487,0.00641,0.98508,0.97248,0.98353,0.89419,0.38114,0.2676,1.11769,0.00684,0.000152,0.000152,0.000152
